1011223 7.7
1045241 5.0
1096315 4.4
1114348 6.5
1147688 9.5
1148830 1.0
1172534 7.7
1179191 5.3
1180375 6.6
1194546 9.7
1205386 2.9
1215473 4.6
1215667 7.7
1216011 7.0
1216062 8.0
1216256 8.9
1220620 4.1
1222884 4.3
1228289 6.2
1231034 6.0
1239086 6.7
1246530 0.7
1250171 4.9
1250209 5.4
1257246 8.0
1258544 6.6
1260541 6.4
1260549 8.5
1260592 7.0
1260711 5.6
1260727 5.0
1260762 6.8
1260875 9.2
1260948 6.3
1261065 6.4
1261154 5.7
1261235 8.8
1261270 6.2
1261367 7.2
1261440 8.7
1261464 7.9
1261483 9.6
1261521 5.9
1261715 8.2
1261801 4.8
1261831 6.7
1261912 9.1
1261936 3.9
1261979 5.6
1262013 7.8
1262021 6.7
1265125 7.8
1265861 4.2
1266288 9.8
1266334 4.5
1266814 7.5
1266833 7.6
1268019 8.1
1268027 3.5
1268035 3.2
1268070 6.6
1269147 0.1
1269212 5.3
1269236 5.3
1269244 9.4
1269996 6.0
1270032 8.7
1271397 8.9
1272784 9.9
1272814 9.7
1272849 3.9
1273473 5.1
1274321 7.8
1275678 8.7
1275708 2.1
1275759 4.8
1276383 7.9
1278855 9.1
1278971 9.4
1280151 8.1
1280205 4.4
1281538 4.9
1282836 7.1
1282844 6.9
1283948 6.7
1285967 7.2
1286103 7.9
1287579 5.6
1287986 5.7
1288656 7.8
1290677 7.3
1290707 1.4
1290715 6.3
1290920 6.4
1292629 6.8
1295671 5.0
1296098 3.4
1304538 7.7
1305046 2.9
1305739 8.0
1305747 7.0
1305755 2.7
1305790 5.8
1305798 4.6
1305812 8.1
1305820 7.0
1305828 9.8
1305836 8.9
1305844 9.1
1305863 8.8
1305871 6.3
1305879 6.5
1305887 8.8
1305895 4.6
1305909 4.8
1305917 4.9
1305925 7.9
1305952 3.1
1305968 6.1
1306003 8.1
1306010 6.9
1306018 8.9
1306026 6.9
1306034 8.7
1306053 5.3
1306061 5.9
1306069 8.7
1306077 5.1
1306115 7.3
1306150 6.3
1306166 2.6
1306174 2.8
1306193 7.4
1306201 4.8
1306204 7.6
1306231 8.0
1306239 9.6
1306247 5.1
1306255 9.6
1306282 5.5
1306312 8.1
1306328 7.0
1306344 8.1
1306363 5.9
1306371 9.2
1306387 7.7
1306395 9.6
1306409 6.5
1306417 6.7
1306425 8.0
1306460 7.9
1306468 9.7
1306476 2.5
1306506 8.1
1306514 3.3
1306533 7.6
1306541 8.2
1306549 9.4
1306557 4.4
1306565 7.8
1306592 5.9
1306600 3.3
1306622 0.4
1306630 7.5
1306654 9.4
1306681 8.0
1306689 4.6
1306697 9.1
1306719 6.9
1306735 6.6
1306770 6.0
1306778 5.6
1306786 5.7
1306794 4.0
1306808 2.9
